Iter,normal,RAND,double,dueling
815,6,0.077236439,29.17093163,
816,6.1,0.430650097,135.295029,
817,6.2,0.588561451,182.7684354,
818,6.3,0.883685674,271.4057022,
819,1.3,0.350321328,106.3963983,
820,1.4,0.593833454,179.5500363,
821,1.5,0.105778761,33.23362821,
822,1.6,0.003505938,2.651781405,
823,1.7,0.508907067,154.3721201,
824,1.8,0.22083498,68.05049387,
825,1.9,0.818047797,247.3143392,
826,2,0.1610852,50.3255599,
827,2.1,0.107650186,34.39505572,
828,2.2,0.256433912,79.13017353,
829,2.3,0.178026154,55.70784614,
830,2.4,0.267533762,82.66012852,
831,2.5,0.200286542,62.58596247,
832,2.6,0.265474536,82.24236079,
833,2.7,0.188587358,59.27620753,
834,2.8,0.560872172,171.0616515,
835,2.9,0.635300774,193.4902321,
836,3,0.677350699,206.2052098,
837,3.1,0.202352508,63.80575237,
838,3.2,0.370612305,114.3836916,
839,3.3,0.230836211,72.5508633,
840,3.4,0.94248061,286.1441829,
841,3.5,0.163676224,52.60286735,
842,3.6,0.531304194,162.9912583,
843,3.7,0.470295159,144.7885477,
844,3.8,0.528987547,162.4962642,
845,3.9,0.371825981,115.4477944,
846,4,0.039873939,15.96218174,
847,4.1,0.96212642,292.737926,
848,4.2,0.527356124,162.4068373,
849,4.3,0.118799418,39.93982549,
850,4.4,0.311688862,97.9066586,
851,4.5,0.566967065,174.5901196,
852,4.6,0.416156966,129.4470898,
853,4.7,0.04677018,18.73105402,
854,4.8,0.857252895,261.9758686,
855,4.9,0.727584962,223.1754886,
856,5,0.583060919,179.9182757,
857,5.1,0.697079784,214.2239352,
858,5.2,0.567946449,175.5839347,
859,5.3,0.81036783,248.4103491,
860,5.4,0.688210221,211.8630663,
861,5.5,0.217795877,70.83876302,
862,5.6,0.062927557,24.47826701,
863,5.7,0.555969905,172.4909714,
864,5.8,0.536638388,166.7915165,
865,5.9,0.284781332,91.33439968,
866,6,0.489434036,152.8302107,
867,6.1,0.784037803,241.3113409,
868,6.2,0.93023999,285.2719969,
869,1.2,0.517322971,156.3968913,
870,1.3,0.315955853,96.08675604,
871,1.4,0.726882976,219.4648929,
872,1.5,0.46247398,140.2421939,
873,1.6,0.45113744,136.9412319,
874,1.7,0.287105996,87.83179871,
875,1.8,0.467636871,142.0910613,
876,1.9,0.211138277,65.24148306,
877,2,0.878368114,265.5104342,
878,2.1,0.641482241,194.5446722,
879,2.2,0.583315227,177.1945682,
880,2.3,0.991899899,299.8699698,
881,2.4,0.313690627,96.50718805,
882,2.5,0.666880138,202.5640414,
883,2.6,0.630760483,191.8281448,
884,2.7,0.06058457,20.87537114,
885,2.8,0.986311227,298.693368,
886,2.9,0.999407571,302.7222714,
887,3,0.312513374,96.75401224,
888,3.1,0.109905544,36.07166308,
889,3.2,0.11313925,37.14177501,
890,3.3,0.237450897,74.53526919,
891,3.5,0.78394421,238.6832631,
892,3.6,0.528297621,162.0892862,
893,3.7,0.975644701,296.3934103,
894,3.8,0.254440665,80.13219937,
895,3.9,0.287314317,90.094295,
896,4,0.977332961,297.1998882,
897,4.1,0.239169718,75.85091548,
898,4.2,0.889997119,271.1991358,
899,4.3,0.65711636,201.434908,
900,4.4,0.998981359,304.0944078,
901,4.5,0.493186745,152.4560235,
902,4.6,0.390464541,121.7393622,
903,4.7,0.085881224,30.4643672,
904,4.8,0.976013447,297.6040341,
905,4.9,0.724310146,222.1930438,
906,5,0.461340415,143.4021245,
907,5.1,0.232456795,74.83703848,
908,5.2,0.270774512,86.43235347,
909,5.3,0.748065647,229.719694,
910,5.4,0.719679871,221.3039614,
911,5.5,0.230759236,74.72777089,
912,5.6,0.940636716,287.7910147,
